Timestamp,Please select your gender,Do you like spicy food? (please choose one),Do you like pineapples on your pizza (please choose one)
2/3/2025 13:17:33,Male,No,No
2/3/2025 13:18:09,Male,Yes,No
2/3/2025 13:18:58,Female,Yes,No
2/3/2025 13:29:16,Male,No,No
2/3/2025 13:29:30,Male,No,No
2/3/2025 13:32:34,Male,Yes,No
2/3/2025 13:35:10,Female,Yes,Yes
2/3/2025 13:39:15,Male,No,Yes
2/3/2025 14:23:02,Female,Yes,Yes
2/3/2025 14:23:18,Female,Yes,No
2/3/2025 14:24:33,Female,No,No
2/3/2025 14:41:33,Male,Yes,Yes
2/3/2025 18:02:07,Female,Yes,No
2/3/2025 18:57:11,Male,Yes,No
2/3/2025 19:18:34,Male,Yes,Yes
2/4/2025 10:29:37,Female,No,No
2/4/2025 10:30:17,Female,Yes,No
2/4/2025 12:26:28,Male,No,No
2/4/2025 12:39:02,Female,Yes,Yes
2/4/2025 12:39:34,Female,Yes,Yes
2/4/2025 14:45:49,Male,No,Yes
2/4/2025 16:23:30,Female,Yes,Yes
2/4/2025 16:24:41,Female,Yes,No
2/4/2025 21:47:30,Female,Yes,No
2/4/2025 21:47:35,Male,No,No
2/4/2025 21:49:14,Male,Yes,Yes
2/4/2025 21:49:21,Male,Yes,No
2/4/2025 21:50:51,Male,Yes,No
2/4/2025 21:51:13,Female,Yes,No
2/4/2025 21:52:48,Female,No,No
2/4/2025 21:53:13,Male,Yes,Yes
2/4/2025 22:35:24,Male,Yes,No
2/4/2025 22:37:47,Male,No,No
2/4/2025 23:00:37,Male,Yes,No
2/5/2025 14:51:28,Female,Yes,Yes
2/5/2025 15:00:31,Male,Yes,Yes
2/5/2025 15:00:55,Male,No,Yes
2/5/2025 18:47:43,Female,Yes,Yes
2/5/2025 20:11:11,Female,Yes,Yes
2/5/2025 20:49:40,Male,Yes,No
2/5/2025 21:47:34,Male,Yes,Yes
2/5/2025 22:11:58,Female,Yes,Yes
2/6/2025 2:42:01,Female,Yes,No
2/6/2025 4:28:05,Female,Yes,No
2/6/2025 5:17:32,Female,Yes,No
2/6/2025 5:26:27,Female,No,No
2/6/2025 5:39:15,Female,Yes,No
2/6/2025 7:10:18,Female,Yes,No
2/6/2025 7:31:39,Female,Yes,Yes
2/6/2025 11:32:54,Female,No,Yes
2/6/2025 12:48:33,Female,Yes,Yes
2/6/2025 12:48:46,Female,No,Yes
2/6/2025 12:48:48,Female,Yes,No
2/6/2025 12:48:50,Female,No,No
2/6/2025 12:48:50,Female,Yes,Yes
2/6/2025 12:49:00,Female,Yes,No
2/6/2025 12:49:00,Female,Yes,Yes
2/6/2025 12:52:07,Male,Yes,No
2/6/2025 12:52:10,Female,Yes,Yes
2/6/2025 12:52:15,Female,Yes,Yes
2/6/2025 12:52:36,Female,Yes,No
2/6/2025 12:52:39,Female,Yes,No
2/6/2025 12:52:44,Female,No,No
2/6/2025 12:52:44,Female,Yes,No
2/6/2025 12:52:46,Female,Yes,Yes
2/6/2025 12:53:32,Female,Yes,Yes
2/6/2025 12:54:12,Male,Yes,Yes
2/6/2025 13:12:38,Male,Yes,No
2/6/2025 13:13:05,Male,Yes,Yes
2/6/2025 13:13:34,Male,Yes,Yes
2/6/2025 13:13:53,Male,Yes,No
2/6/2025 15:24:35,Female,Yes,No
2/6/2025 18:44:12,Female,No,No
2/6/2025 22:58:35,Female,Yes,Yes
2/7/2025 20:32:49,Female,Yes,No
